date,skin,condition
2022-03-13,AWP | Asiimov,Battle-Scarred
2022-03-14,P250 | Nevermore,Minimal Wear
2022-03-15,M4A4 | Howl,Field-Tested
2022-03-16,Skeleton Knife | Blue Steel,Minimal Wear
2022-03-17,AWP | Dragon Lore,Factory New
2022-03-18,Desert Eagle | Conspiracy,Field-Tested
2022-03-19,Five-SeveN | Monkey Business,Well-Worn
2022-03-20,Desert Eagle | Blaze,Factory New
2022-03-21,USP-S | Neo-Noir,Well-Worn
2022-03-22,MP9 | Storm,Field-Tested
2022-03-23,P2000 | Fire Elemental,Field-Tested
2022-03-24,Desert Eagle | Printstream,Factory New
2022-03-25,Tec-9 | Bamboozle,Field-Tested
2022-03-26,SG 553 | Army Sheen,Factory New
2022-03-27,Sawed-Off | The Kraken,Minimal Wear
2022-03-28,Glock-18 | Water Elemental,Field-Tested
2022-03-29,Gut Knife | Boreal Forest,Battle-Scarred
2022-03-30,MAC-10 | Candy Apple,Factory New
2022-03-31,SSG 08 | Necropos,Minimal Wear
2022-04-01,MP5-SD | Acid Wash,Factory New
2022-04-02,Falchion Knife | Slaughter,Factory New
2022-04-03,Navaja Knife | Damascus Steel,Minimal Wear
2022-04-04,Tec-9 | Nuclear Threat,Field-Tested
2022-04-05,Bayonet | Lore,Factory New
2022-04-06,AK-47 | Fuel Injector,Battle-Scarred
2022-04-07,Galil AR | Eco,Field-Tested
2022-04-08,Negev | Power Loader,Field-Tested
2022-04-09,SCAR-20 | Emerald,Factory New
2022-04-10,Nova | Koi,Factory New
2022-04-11,SSG 08 | Abyss,Battle-Scarred
2022-04-12,Desert Eagle | Code Red,Factory New
2022-04-13,Five-SeveN | Hyper Beast,Battle-Scarred
2022-04-14,Glock-18 | High Beam,Factory New
2022-04-15,R8 Revolver | Amber Fade,Minimal Wear
2022-04-16,R8 Revolver | Fade,Field-Tested
2022-04-17,Glock-18 | Bullet Queen,Well-Worn
2022-04-18,CZ75-Auto | The Fuschia Is Now,Minimal Wear
2022-04-19,CZ75-Auto | Xiangliu,Well-Worn
2022-04-20,SG 553 | Phantom,Field-Tested
2022-04-21,AK-47 | Cartel,Field-Tested
2022-04-22,Shadow Daggers | Doppler,Factory New
2022-04-23,AUG | Arctic Wolf,Battle-Scarred
2022-04-24,AWP | Sun in Leo,Battle-Scarred
2022-04-25,Dual Berettas | Dualing Dragons,Well-Worn
2022-04-26,M4A1-S | Player Two,Field-Tested
2022-04-27,Tec-9 | Fubar,Battle-Scarred
2022-04-28,Karambit | Fade,Minimal Wear
2022-04-29,MP9 | Goo,Factory New
2022-04-30,P250 | Sand Dune,Battle-Scarred
2022-05-01,M4A4 | Poseidon,Minimal Wear
2022-05-02,G3SG1 | The Executioner,Minimal Wear
2022-05-03,M4A1-S | Knight,Factory New
2022-05-04,SCAR-20 | Bloodsport,Well-Worn
2022-05-05,Sawed-Off | Snake Camo,Minimal Wear
2022-05-06,USP-S | Cyrex,Minimal Wear
2022-05-07,UMP-45 | Blaze,Factory New
2022-05-08,FAMAS | Pulse,Field-Tested
2022-05-09,Glock-18 | Snack Attack,Factory New
2022-05-10,Sawed-Off | Origami,Minimal Wear
2022-05-11,MAG-7 | SWAG-7,Minimal Wear
2022-05-12,M4A4 | Griffin,Minimal Wear
2022-05-13,AWP | Safari Mesh,Well-Worn
2022-05-14,Nomad Knife | Case Hardened,Battle-Scarred
2022-05-15,SSG 08 | Blue Spruce,Minimal Wear
2022-05-16,MP7 | Whiteout,Factory New
2022-05-17,M9 Bayonet | Gamma Doppler,Minimal Wear
2022-05-18,CZ75-Auto | Tacticat,Factory New
2022-05-19,Karambit | Bright Water,Factory New
