date,skin,condition
2022-10-04,Nova | Bloomstick,Factory New
2022-10-05,AK-47 | Jet Set,Minimal Wear
2022-10-06,MAC-10 | Fade,Factory New
2022-10-07,P250 | Mehndi,Minimal Wear
2022-10-08,MAG-7 | Hazard,Well-Worn
2022-10-09,Five-SeveN | Hyper Beast,Battle-Scarred
2022-10-10,Glock-18 | Dragon Tattoo,Factory New
2022-10-11,AK-47 | Gold Arabesque,Battle-Scarred
2022-10-12,M4A4 | Red DDPAT,Well-Worn
2022-10-13,MP9 | Starlight Protector,Factory New
2022-10-14,M4A4 | Buzz Kill,Factory New
2022-10-15,P250 | Bengal Tiger,Factory New
2022-10-16,M4A4 | Tornado,Factory New
2022-10-17,CZ75-Auto | Poison Dart,Well-Worn
2022-10-18,AUG | Wings,Minimal Wear
2022-10-19,Desert Eagle | Night,Factory New
2022-10-20,AK-47 | Neon Revolution,Battle-Scarred
2022-10-21,Desert Eagle | Ocean Drive,Well-Worn
2022-10-22,AWP | The Prince,Field-Tested
2022-10-23,P90 | Death by Kitty,Minimal Wear
2022-10-24,SG 553 | Ultraviolet,Battle-Scarred
2022-10-25,M4A1-S | Chantico's Fire,Minimal Wear
2022-10-26,Sawed-Off | Copper,Battle-Scarred
2022-10-27,CZ75-Auto | Nitro,Well-Worn
2022-10-28,Sawed-Off | Kiss♥Love,Minimal Wear
2022-10-29,SG 553 | Colony IV,Minimal Wear
2022-10-30,M4A1-S | Imminent Danger,Factory New
2022-10-31,MAG-7 | Sand Dune,Factory New
2022-11-01,M4A1-S | Nightmare,Factory New
2022-11-02,SG 553 | Cyrex,Factory New
2022-11-03,AWP | Oni Taiji,Battle-Scarred
2022-11-04,M4A1-S | Blue Phosphor,Minimal Wear
2022-11-05,SCAR-20 | Palm,Well-Worn
2022-11-06,AUG | Midnight Lily,Field-Tested
2022-11-07,Negev | Palm,Factory New
2022-11-08,XM1014 | Frost Borre,Factory New
2022-11-09,Desert Eagle | Hypnotic,Factory New
2022-11-10,P250 | Visions,Factory New
2022-11-11,SSG 08 | Orange Filigree,Battle-Scarred
2022-11-12,M4A1-S | Dark Water,Minimal Wear
2022-11-13,MP7 | Skulls,Minimal Wear
2022-11-14,M4A1-S | Cyrex,Factory New
2022-11-15,Five-SeveN | Crimson Blossom,Minimal Wear
2022-11-16,P250 | Asiimov,Minimal Wear
2022-11-17,Dual Berettas | Cobra Strike,Factory New
2022-11-18,AUG | Anodized Navy,Factory New
2022-11-19,Nova | Modern Hunter,Minimal Wear
2022-11-20,SSG 08 | Mayan Dreams,Factory New
2022-11-21,M4A4 | Neo-Noir,Factory New
2022-11-22,MP9 | Pandora's Box,Factory New
2022-11-23,M4A4 | Modern Hunter,Battle-Scarred
2022-11-24,AUG | Flame Jörmungandr,Well-Worn
2022-11-25,P90 | Glacier Mesh,Factory New
2022-11-26,M4A1-S | Player Two,Field-Tested
2022-11-27,Five-SeveN | Berries And Cherries,Factory New
2022-11-28,Glock-18 | Twilight Galaxy,Factory New
2022-11-29,M4A4 | Poseidon,Factory New
2022-11-30,FAMAS | Afterimage,Factory New
2022-12-01,Galil AR | CAUTION!,Well-Worn
2022-12-02,AK-47 | X-Ray,Factory New
2022-12-03,M4A1-S | Master Piece,Minimal Wear
2022-12-04,AK-47 | Frontside Misty,Minimal Wear
2022-12-05,AK-47 | The Empress,Battle-Scarred
2022-12-06,P2000 | Amber Fade,Factory New
2022-12-07,SSG 08 | Dragonfire,Factory New
2022-12-08,AWP | Electric Hive,Well-Worn
2022-12-09,SCAR-20 | Emerald,Minimal Wear
2022-12-10,AUG | Akihabara Accept,Minimal Wear
2022-12-11,P250 | Modern Hunter,Well-Worn
2022-12-12,MAC-10 | Case Hardened,Battle-Scarred
2022-12-13,Desert Eagle | Blaze,Minimal Wear
